Final Place,Team Name,Top 5 Salary,Percent,Playoffs
8,Mont,31.857143,0.436399219,1
9,NYR,34,0.465753425,1
10,Sharks,31.176668,0.427077644,1
11,Blues,32.2,0.44109589,1
12,Sens,30.9375,0.42380137,1
13,Bruins,34.0416667,0.466324201,1
14,Leafs,22.95,0.314383562,1
15,Flames,30.875,0.422945205,1
16,Tampa,22.316666,0.305707753,0
17,Preds,31.4,0.430136986,1
18,NYI,27,0.369863014,0
19,Flyers,31.650063,0.433562507,0
20,Jets,29.775,0.407876712,0
21,Canes,21.858333,0.299429219,0
22,Kings,33.947727,0.465037356,0
23,Panthers,26.033333,0.356621,0
24,Stars,30.3,0.415068493,0
25,Det,27.625,0.378424658,0
26,Sabers,29.292857,0.401272014,0
27,Coyotes,24.367801,0.333805493,0
28,Devils,27.75,0.380136986,0
29,Canucks,30.45,0.417123288,0
30,Avs,29.371429,0.402348342,0
1,Preds,30.5,0.406666667,1
2,Jets,30.575,0.407666667,1
3,Tampa,32.475,0.433,1
4,Bruins,33.916666,0.452222213,1
5,Vegas,24.9,0.332,1
6,Leafs,26.75,0.356666667,1
7,Capitals,35.888462,0.478512827,1
8,Wild,32.826924,0.43769232,1
9,Ducks,32.955556,0.439407413,1
10,Penguins,37.75,0.503333333,1
11,Sharks,29.5,0.393333333,1
12,Kings,33.947727,0.45263636,1
13,Flyers,31.225063,0.416334173,1
14,CBJ,30.175,0.402333333,1
15,Devils,27.625,0.368333333,1
16,Panthers,30.4,0.405333333,0
17,Avs,31.771429,0.423619053,1
18,Blues,30.6,0.408,0
19,Stars,34.9,0.465333333,0
20,Flames,30.275,0.403666667,0
21,Canes,25.208333,0.336111107,0
22,NYI,28.5,0.38,0
23,Oilers,30.167,0.402226667,0
24,NYR,28.675,0.382333333,0
25,Chicago,39.413462,0.525512827,0
26,Canucks,30.5,0.406666667,0
27,Det,27.625,0.368333333,0
28,Mont,27.025,0.360333333,0
29,Coyotes,25.5125,0.340166667,0
30,Sens,29.8125,0.3975,0
31,Sabers,28.5,0.38,0
1,Tampa,32.725,0.41163522,1
2,Flames,30.975,0.389622642,1
3,Bruins,33.25,0.418238994,1
4,Capitals,38.138462,0.479729082,1
5,NYI,28,0.352201258,1
6,Sharks,34.5,0.433962264,1
7,Preds,32.25,0.405660377,1
8,Leafs,37.45,0.471069182,1
9,Penguins,37.75,0.474842767,1
10,Jets,31.491666,0.396121585,1
11,Canes,26.433333,0.332494755,1
12,Blues,32.75,0.411949686,1
13,CBJ,30.65,0.385534591,1
14,Mont,34.657143,0.435938906,0
15,Stars,33.916667,0.426624742,1
16,Vegas,27.7,0.348427673,1
17,Avs,31.771429,0.399640616,1
18,Coyotes,26.475,0.333018868,0
19,Panthers,30.8375,0.387893082,0
20,Chicago,39.875,0.501572327,0
21,Wild,30.097757,0.378588138,0
22,Flyers,33.025063,0.415409597,0
23,Canucks,24.616666,0.309643597,0
24,Ducks,35.455556,0.445981836,0
25,Oilers,38.5,0.48427673,0
26,NYR,31.45,0.395597484,0
27,Sabers,32.725,0.41163522,0
28,Det,26.391667,0.331970654,0
29,Devils,26.275,0.330503145,0
30,Kings,34.925,0.439308176,0
31,Sens,23.55,0.296226415,0
1,Bruins,33.916666,0.416155411,1
2,Blues,32.75,0.401840491,1
3,Tampa,39.375,0.483128834,1
4,Avs,31.621429,0.387992994,1
5,Capitals,38.138462,0.467956589,1
6,Flyers,37.41792,0.459115583,1
7,Penguins,36.95,0.453374233,1
8,Vegas,35.95,0.441104294,1
9,Oilers,37.25,0.457055215,1
10,Stars,38.4,0.471165644,1
11,Canes,30.904,0.379190184,1
12,Leafs,45.505616,0.558351117,1
13,CBJ,27.275,0.334662577,1
14,Jets,34.434523,0.422509485,1
15,NYI,30,0.36809816,1
16,NYR,39.192857,0.480893951,1
17,Flames,32.225,0.395398773,1
18,Canucks,29.375,0.360429448,1
19,Panthers,35.65,0.437423313,1
20,Preds,34.25,0.420245399,1
21,Wild,32.576924,0.399716859,1
22,Coyotes,32.875,0.403374233,1
23,Chicago,38.538462,0.472864564,1
24,Mont,34.157143,0.419106049,1
25,Sabers,34.9,0.428220859,0
26,Devils,29.9,0.366871166,0
27,Ducks,32.225,0.395398773,0
28,Kings,37.947727,0.465616282,0
29,Sharks,36,0.441717791,0
30,Sens,25.8,0.316564417,0
31,Det,23.45,0.287730061,0
1,Vegas,38.2,0.468711656,1
2,Avs,32.121429,0.394127963,1
3,Canes,30.91025,0.379266871,1
4,Panthers,35.65,0.437423313,1
5,Penguins,36.95,0.453374233,1
6,Capitals,40.288462,0.494336957,1
7,Leafs,46.130616,0.566019828,1
8,Tampa,36.175,0.443865031,1
9,Wild,34.651924,0.425176982,1
10,Bruins,33.916666,0.416155411,1
11,Oilers,38.35,0.470552147,1
12,NYI,29,0.355828221,1
13,Preds,37.309,0.457779141,1
14,Jets,34.309523,0.420975742,1
15,Blues,34.5,0.423312883,1
16,NYR,35.992857,0.441630147,0
17,Stars,36.4,0.446625767,0
18,Mont,34.857143,0.427695006,1
19,Flyers,37.418487,0.45912254,0
20,Flames,32.875,0.403374233,0
21,Chicago,30.838462,0.378386037,0
22,Coyotes,33.525,0.411349693,0
23,Sens,28.55,0.350306748,0
24,Canucks,29.325,0.359815951,0
25,Kings,36.758333,0.451022491,0
26,Sharks,41.5,0.509202454,0
27,Det,25.9,0.317791411,0
28,CBJ,27.325,0.335276074,0
29,Devils,28.749999,0.352760724,0
30,Ducks,32.225,0.395398773,0
31,Sabers,29.475,0.361656442,0
1,Panthers,33.6,0.412269939,1
2,Avs,37.55,0.460736196,1
3,Canes,33.710285,0.413623129,1
4,Leafs,47.255616,0.579823509,1
5,Wild,34.575,0.424233129,1
6,Flames,31.1,0.381595092,1
7,NYR,37.159524,0.45594508,1
8,Tampa,42.125,0.516871166,1
9,Blues,34.5,0.423312883,1
10,Bruins,30.916666,0.379345595,1
11,Oilers,37.163462,0.455993399,1
12,Penguins,36.95,0.453374233,1
13,Capitals,40.25,0.493865031,1
14,Kings,31.425,0.385582822,1
15,Stars,41.05,0.503680982,1
16,Preds,36.059,0.442441718,1
17,Vegas,41.2,0.505521472,0
18,Canucks,35.325,0.433435583,0
19,Jets,33.934523,0.416374515,0
20,NYI,30.75,0.377300613,0
21,CBJ,31.650063,0.388344331,0
22,Sharks,40.5,0.496932515,0
23,Ducks,25.625,0.314417178,0
24,Sabers,29.625,0.363496933,0
25,Det,25.5,0.312883436,0
26,Sens,29.405674,0.360805816,0
27,Chicago,37.8,0.463803681,0
28,Devils,33.916666,0.416155411,0
29,Flyers,32.267857,0.395924626,0
30,Kracken,26.666666,0.327198356,0
31,Coyotes,31.3,0.38404908,0
32,Mont,33.25,0.40797546,0
1,Bruins,34.791666,0.421717164,1
2,Canes,33.16025,0.401942424,1
3,Devils,35.7,0.432727273,1
4,Vegas,35.15,0.426060606,1
5,Leafs,48.005616,0.581886255,1
6,Avs,36.675,0.444545455,1
7,Oilers,40.875,0.495454545,1
8,Stars,41.35,0.501212121,1
9,NYR,44.142857,0.535064933,1
10,Kings,39.875,0.483333333,1
11,Wild,34.575,0.419090909,1
12,Kracken,27.466666,0.332929285,1
13,Tampa,44.875,0.543939394,1
14,Jets,33.934523,0.411327552,1
15,NYI,31.9,0.386666667,1
16,Flames,30.05,0.364242424,0
17,Panthers,43.5,0.527272727,1
18,Preds,36.809,0.446169697,0
19,Sabers,30.5,0.36969697,0
20,Penguins,33.15,0.401818182,0
21,Sens,34.080714,0.413099564,0
22,Canucks,33.1,0.401212121,0
23,Blues,32,0.387878788,0
24,Det,26.275,0.318484848,0
25,Capitals,40.25,0.487878788,0
26,Flyers,31.492857,0.3817316,0
27,Coyotes,23.225,0.281515152,0
28,Mont,30.25,0.366666667,0
29,Sharks,39.3625,0.477121212,0
30,Chicago,33.9,0.410909091,0
31,CBJ,31.85,0.386060606,0
32,Ducks,28.975,0.351212121,0
